t_lag,D_wx,D_wy,D_wz,D_ty,D_tz,D_wty,D_wtz
17.25,2.3144932116059413e-09,2.5013191796139104e-09,2.4990323499893283e-09,6.71549061626593e-11,1.3965066072724789e-10,2.1725885499851856e-11,3.726851708581038e-12
17.4,2.2697587044293345e-09,2.4984955543144635e-09,2.4968144259989632e-09,-1.5447940631131948e-10,-5.672505240350715e-10,-7.801738912495337e-12,-1.5050050565811865e-11
17.55,2.2674786152614278e-09,2.4999870247271e-09,2.5050234386592942e-09,-4.357570510638389e-11,-1.2908553314636815e-10,-5.30315246496815e-12,-5.4826512200143544e-12
17.7,2.3111582397507727e-09,2.5042990806714392e-09,2.5113128509079355e-09,2.2063689200513533e-10,6.120023353695948e-10,3.354664349644167e-11,7.692511908454717e-11
17.849999999999998,2.3713614364791096e-09,2.498649093759611e-09,2.49903699806091e-09,6.895629613733202e-11,2.4930697684233156e-10,-2.791887710517399e-12,-9.795961985002277e-12
18.0,2.454705021718388e-09,2.4962195581912244e-09,2.492648530889021e-09,-2.7682679430112126e-10,-5.193782652934453e-10,-3.795147017013871e-11,-8.004018469734286e-11
18.15,2.5596204784666536e-09,2.504500357289545e-09,2.509222943807258e-09,8.646618448698253e-11,-1.8277163544517718e-10,2.738416991412255e-11,3.06714872530816e-11
18.3,2.6605479593610053e-09,2.5033391804402067e-09,2.5076547349398683e-09,1.411897717468606e-10,2.151841630608246e-10,2.770920147706875e-11,2.558313510005529e-11
18.45,2.7428577922493114e-09,2.498121716126004e-09,2.4964384779947367e-09,-9.027241107617662e-11,1.8614439089658487e-10,-1.1214903963755593e-11,-1.6812018540873233e-11
18.599999999999998,2.7757371294946733e-09,2.499033930764725e-09,2.501579034629467e-09,-9.133650042311264e-11,-3.828195959097627e-11,-1.5046378688963526e-11,6.62025785535987e-12
18.75,2.7722406466545922e-09,2.505058505717032e-09,2.5127821414501954e-09,1.808864935445666e-10,4.086785896085349e-11,3.4146005188063455e-11,4.771930104610208e-11
18.9,2.731383964738473e-09,2.5009120470753367e-09,2.5022881873900177e-09,3.6038009595367854e-11,-2.7865674741195566e-10,1.2120060664065724e-11,-4.280040998875922e-11
19.05,2.6583119127453266e-09,2.4947404087111566e-09,2.4902288518943483e-09,-2.1659219865739697e-10,-2.0903482486934433e-10,-4.146803347594487e-11,-9.621979600508622e-11
19.2,2.5609219342203905e-09,2.5026317570802936e-09,2.509356835010289e-09,6.002013046396e-11,5.279995904827408e-10,2.1454778555250146e-11,8.038685883881696e-11
19.349999999999998,2.4556379823838486e-09,2.504995978783456e-09,2.515681270572293e-09,1.8231663346916235e-10,1.5449857106064528e-10,3.060067927583343e-11,8.672121703885498e-11
19.5,2.382714464493054e-09,2.49881866803529e-09,2.4986429742957915e-09,-2.0980852631066793e-10,-6.382018494510266e-10,-1.7868309209252576e-11,-5.876299791839112e-11
19.65,2.331858134425186e-09,2.496076962077695e-09,2.4919312990566114e-09,-1.7504531711175899e-10,-9.055877054246478e-11,-3.869158675398432e-11,-1.0355172391153261e-10
19.8,2.3048220016950487e-09,2.50485460147155e-09,2.510106612659918e-09,1.8155951836039123e-10,5.741435217257886e-10,3.3004423045846495e-11,5.56390417700694e-11
19.95,2.3110571707434787e-09,2.507015716617998e-09,2.514694312773042e-09,3.347779825680742e-10,3.737126002240623e-11,6.224086954067505e-11,9.782473008007147e-11
20.099999999999998,2.3531623572785815e-09,2.4958216899474112e-09,2.4930902942533275e-09,-3.0478823816830977e-10,-7.158226073005132e-10,-3.946384512458422e-11,-1.1083027656907423e-10
20.25,2.4349818135698578e-09,2.4980757340860943e-09,2.500727503977361e-09,-1.6783171280317147e-10,-3.8691365669353544e-12,-2.297005164411303e-11,-2.95754830500859e-11
20.4,2.5234477152523292e-09,2.504890509073054e-09,2.5177583237956772e-09,3.4467756569541705e-10,1.0001014159488077e-09,3.764324369436912e-11,1.3849558338301771e-10
20.55,2.612852546174139e-09,2.5013587321920887e-09,2.5053159650422597e-09,-3.9418877018338816e-11,7.194149600999677e-11,1.0724975483864772e-11,2.209383812129159e-11
20.7,2.692271609073336e-09,2.4933924163918314e-09,2.4846987586164587e-09,-4.33801369239063e-10,-1.5389655529550477e-09,-6.98454164749696e-11,-2.0344910704974746e-10
20.849999999999998,2.7540970967079607e-09,2.501144890943801e-09,2.5031759511692988e-09,-1.2648266588905232e-10,-2.549258311439876e-10,-5.298916229245313e-12,-4.7555462004016834e-11
21.0,2.7871052293590574e-09,2.514101655418581e-09,2.530292871722905e-09,9.48014193927163e-10,2.39039492526119e-09,1.2676696179669085e-10,2.76549406079998e-10
21.15,2.751262097651508e-09,2.5011291549538513e-09,2.503134592057683e-09,-1.2509903452246543e-10,-2.520816269105293e-10,1.3808363393990545e-11,3.9508069894233965e-11
21.3,2.6880052703607934e-09,2.4935331415724287e-09,2.485026497116324e-09,-4.2423049678231766e-10,-1.5048173374083744e-09,-6.744509599018069e-11,-2.0610681577676582e-10
21.45,2.6091175040860863e-09,2.5013049753932056e-09,2.505122449735003e-09,-3.819598187425187e-11,6.956035134535706e-11,-1.0317381361482437e-11,-5.678065594575365e-11
21.599999999999998,2.522418817786506e-09,2.504664260700488e-09,2.5169557789707824e-09,3.2944457656035924e-10,9.562163192371329e-10,4.213186734607055e-11,1.4590416896993395e-10
21.75,2.438527993958873e-09,2.4981662052076168e-09,2.500658862921107e-09,-1.5881264085064707e-10,-3.658309228447832e-12,-1.1162335581644592e-11,3.0719757012842005e-11
21.9,2.3627185608056707e-09,2.4960763356121304e-09,2.4935054202387238e-09,-2.8511332469544547e-10,-6.692370614725596e-10,-4.5141973923362525e-11,-1.1632338292174933e-10
22.05,2.325321856480177e-09,2.5064660035940955e-09,2.5135448409991953e-09,3.093166723372915e-10,3.454955048677163e-11,4.707370308095891e-11,4.5381945382698905e-11
22.2,2.321567111819347e-09,2.5044153268557248e-09,2.509193967964873e-09,1.6577090904048257e-10,5.248851084962679e-10,3.6613723797132295e-11,5.8114918240874305e-11
22.349999999999998,2.347994861283587e-09,2.4964279788926156e-09,2.4926546981360456e-09,-1.5848307552948894e-10,-8.186811613485871e-11,-2.49372884651136e-11,-6.66906630555852e-11
22.5,2.395150102310404e-09,2.498915772086089e-09,2.4987305557418505e-09,-1.878246467554589e-10,-5.705344955686187e-10,-1.8088544870040697e-11,-5.1903657410899476e-11
22.65,2.460782572871426e-09,2.5043858130914246e-09,2.5138011586638208e-09,1.6088726475826013e-10,1.3658119510494607e-10,3.3527784787713783e-11,6.857711390391704e-11
22.8,2.5532585251820172e-09,2.5022673087537003e-09,2.5081130368688995e-09,5.2159499447140835e-11,4.6158173038169533e-10,7.927791910480009e-12,6.089473733458901e-11
22.95,2.6368612342139006e-09,2.4954170889754422e-09,2.4914808564064556e-09,-1.8757938968476941e-10,-1.80711879298727e-10,-4.3100333910843376e-11,-7.850904177635076e-11
23.099999999999998,2.697813338258456e-09,2.5007412005794915e-09,2.501879160737351e-09,3.0451075719698084e-11,-2.382280264068683e-10,3.609192400393786e-12,-1.977473159780356e-11
23.25,2.7301627938828543e-09,2.5042356201180477e-09,2.510724444321484e-09,1.5254673767414403e-10,3.455070341658949e-11,2.910765478814127e-11,4.134418800690369e-11
23.4,2.7305376975680766e-09,2.4991487688769986e-09,2.501233151572054e-09,-7.676925621940437e-11,-3.2007300506043456e-11,-5.826001985567365e-12,-9.913967331699906e-12
